Species,Type_code,Age_Myr,Size_microns,Density_mm2,Ref
Aglaophyton major,1,395,14000,4.5,-1
Sawdonia ornata,2,395,1161,4.3,-1
Horneophyton lignieri,2,395,20700,3,-1
Aglayophyton major,1,395,14000,1,-1
Rhynia gwynne-vaughanii,2,395,8500,1.8,-1
Nothia aphylla,1,395,9975,5.5,-1
Asteroxylon mackiei,2,395,4550,21,-1
Drepanophycus spinaeformis,2,395,1734,16.6,-1
Hsua deflexa,2,395,3149,,-2
Sporathylacium salopense,2,395,1190,42,-3
Sporoginites exuberans,2,395,2475,11,-4
Baragwanathia abitibiensis,2,390,,28,-5
Drepanophycus spinaeformis,2,390,3600,13,-6
Cooksonia pertoni,2,390,2250,,-6
Unknown 1,2,390,1054,,-6
Unknown 2,2,390,900,,-6
Huia gracilis,2,390,,13,-7
Archaeopteris macilenta,4,385,3348,32,-8
Archaeopteris macilenta,4,385,2793,37,-8
Archaeopteris sp.,4,365,1184,,-9
Hsua robusta,2,355,5400,5,-10
Swillingtonia denticulata,5,310,300,787.8,-11
Blanzyopteris praedentata,3,305,1650,310,-12
Reticulopteris germarii,3,305,300,300,-13
Barthelpteris germarii,3,305,,304,-13
Neuropteris obliqua,3,305,300,113,-14
Laveineopteris loshii,3,305,250,325,-14
Neuralethopteris schlehanii,3,305,360,300,-14
Neuropteris loshii,3,305,206,200,-15
Neuropteris tenuifolia,3,305,206,300,-15
Neuropteris rarinervi,3,305,300,140,-15
Neuropteris ovata var. simonii,3,305,300,90,-15
Neuropteris ovata var. sarana,3,305,360,28,-15
Neuropteris aconiensis,3,305,120,50,-15
Neuropteris flexuosa,3,305,250,120,-15
Neuropteris scheuchzeri,3,305,200,90,-15
Neuropteris macrophylla,3,305,200,65,-15
Neuropteris britannica,3,305,206,130,-15
Neuropteris subariculata,3,305,297,91,-15
Neuropteris sp. 1,3,305,404,180,-15
Neuropteris sp. 2,3,305,206,180,-15
Alethopteris sullivanti,3,305,702,472,-16
Alethopteris lesquereuxi,3,305,616,250,-17
Lepidodendron obovatum,2,305,1575,200,-18
Lepidodendron dichotomum,2,305,1000,450,-18
Lepidodendron loricatum,2,305,1125,200,-18
Senftenbergia plumosa,3,305,200,200,-19
Laveinopteris tenuifolia,3,305,450,370,-20
Cordaites principalis morph. 1,5,305,104,560,-21
Cordaites principalis morph. 2,5,305,510,104,-21
Cordaites principalis morph. 3,5,305,216,150,-21
Cordaites principalis morph. 4,5,305,540,204,-21
Pecopteris nyranensis,3,305,300,,-22
Pecopteris aspidioides,3,305,325,,-22
Pecopteris polipodioides,3,305,630,,-22
Pecopteris miltonii,3,305,800,,-22
Neopteris ovata,3,305,150,343,-23
Lescuropteris genuina,3,305,400,91,-24
Schopfiastrum decussatum,3,305,425,28,-25
Karinopteris spp.,3,300,,38,-26
Lebachia frondosa,5,288,,309,-11
Sphenophyllum apiciserratum,6,270,900,38,-27
Sphenophyllum kaboense,6,270,840,34,-27
Callipteris changii,7,270,,384,-27
Psygmophyllum multipartitum,8,270,,296,-28
Gigantonoclea guizhouensis,9,270,2530,70,-28
Gigantonoclea pubescens,9,260,450,184,-28
